age,income,loan_amount,credit_score,employment_years,existing_debts,home_ownership,loan_purpose,default
57,147978,19309,697,39,0,OWN,SMALL_BUSINESS,1
63,24757,1619,419,38,2,OWN,SMALL_BUSINESS,0
41,39097,18658,736,22,3,MORTGAGE,SMALL_BUSINESS,1
67,30395,35707,764,31,1,OWN,MAJOR_PURCHASE,0
49,36241,21337,585,32,1,RENT,DEBT_CONSOLIDATION,0
64,123892,17001,564,4,2,RENT,SMALL_BUSINESS,0
39,47696,1968,619,33,2,MORTGAGE,MAJOR_PURCHASE,1
40,135654,48614,675,39,2,RENT,DEBT_CONSOLIDATION,0
19,90480,26892,388,10,4,MORTGAGE,SMALL_BUSINESS,1
44,66163,26619,502,2,4,RENT,DEBT_CONSOLIDATION,0
59,39816,1281,633,32,4,RENT,SMALL_BUSINESS,0
19,69840,28420,521,10,0,RENT,MAJOR_PURCHASE,0
43,122547,16360,340,15,1,MORTGAGE,HOME_IMPROVEMENT,0
34,72853,40030,367,17,3,MORTGAGE,HOME_IMPROVEMENT,1
57,44917,2058,813,29,0,OWN,DEBT_CONSOLIDATION,0
50,116731,21677,426,9,1,MORTGAGE,MAJOR_PURCHASE,0
26,41566,11724,554,17,1,RENT,HOME_IMPROVEMENT,0
60,95452,29404,315,37,2,RENT,SMALL_BUSINESS,1
65,82823,38946,776,18,2,MORTGAGE,HOME_IMPROVEMENT,1
56,141392,40748,361,35,0,MORTGAGE,DEBT_CONSOLIDATION,1
46,40806,30856,731,12,2,MORTGAGE,DEBT_CONSOLIDATION,0
59,95520,10200,567,2,1,OWN,MAJOR_PURCHASE,0
43,21759,34997,334,9,2,RENT,DEBT_CONSOLIDATION,1
52,146092,26611,793,37,4,OWN,HOME_IMPROVEMENT,0
67,61949,42235,768,0,2,OWN,HOME_IMPROVEMENT,0
42,112374,36057,624,26,1,RENT,HOME_IMPROVEMENT,0
41,22482,2239,603,7,0,RENT,HOME_IMPROVEMENT,0
30,44442,39138,575,16,3,MORTGAGE,MAJOR_PURCHASE,1
24,53719,49938,500,8,2,MORTGAGE,SMALL_BUSINESS,1
53,78066,1125,744,5,1,OWN,SMALL_BUSINESS,0
62,113501,46272,623,24,3,MORTGAGE,MAJOR_PURCHASE,0
37,22079,24857,334,38,3,MORTGAGE,DEBT_CONSOLIDATION,1
18,22717,16398,781,27,4,RENT,SMALL_BUSINESS,1
25,79676,7638,779,32,3,RENT,DEBT_CONSOLIDATION,0
63,47952,7570,364,36,1,MORTGAGE,SMALL_BUSINESS,0
33,106444,4249,307,8,1,RENT,DEBT_CONSOLIDATION,0
31,62460,10110,600,17,2,MORTGAGE,MAJOR_PURCHASE,0
29,110397,41363,642,20,2,RENT,HOME_IMPROVEMENT,0
68,92847,14605,730,1,2,RENT,DEBT_CONSOLIDATION,0
40,113607,13115,723,37,3,RENT,HOME_IMPROVEMENT,0
32,109106,40062,631,39,3,RENT,DEBT_CONSOLIDATION,1
45,38449,23911,737,35,4,MORTGAGE,DEBT_CONSOLIDATION,0
51,53536,39525,473,36,2,OWN,DEBT_CONSOLIDATION,1
19,84077,33556,826,14,0,RENT,DEBT_CONSOLIDATION,0
49,58258,13595,325,27,4,MORTGAGE,DEBT_CONSOLIDATION,1
40,68302,2969,705,17,0,MORTGAGE,HOME_IMPROVEMENT,0
39,145937,44753,531,33,3,RENT,DEBT_CONSOLIDATION,0
68,48865,18275,832,21,4,OWN,HOME_IMPROVEMENT,0
42,26645,5470,849,10,4,RENT,MAJOR_PURCHASE,0
39,139771,11225,804,12,1,MORTGAGE,SMALL_BUSINESS,0
39,58000,43324,478,3,3,OWN,DEBT_CONSOLIDATION,0
66,46737,42974,431,21,3,MORTGAGE,SMALL_BUSINESS,0
69,31485,43759,754,6,4,RENT,HOME_IMPROVEMENT,1
59,58565,24196,647,23,3,OWN,MAJOR_PURCHASE,0
23,45522,41287,839,3,4,MORTGAGE,MAJOR_PURCHASE,1
32,139614,14669,705,27,1,MORTGAGE,MAJOR_PURCHASE,0
60,85155,38380,375,14,4,MORTGAGE,SMALL_BUSINESS,1
54,75168,46141,791,0,3,RENT,HOME_IMPROVEMENT,0
50,72487,49320,493,2,3,OWN,DEBT_CONSOLIDATION,0
25,149948,48414,461,13,4,RENT,DEBT_CONSOLIDATION,0
61,32342,39006,646,37,4,RENT,HOME_IMPROVEMENT,1
61,60806,16577,660,0,4,RENT,SMALL_BUSINESS,0
22,68770,23473,386,37,2,OWN,DEBT_CONSOLIDATION,1
56,98623,29625,561,37,3,RENT,HOME_IMPROVEMENT,0
21,123177,16504,513,20,3,RENT,DEBT_CONSOLIDATION,1
23,119785,25089,561,28,2,RENT,MAJOR_PURCHASE,0
62,95629,37487,582,4,4,RENT,DEBT_CONSOLIDATION,0
49,140993,1302,766,9,1,MORTGAGE,SMALL_BUSINESS,0
69,72603,32463,679,27,4,RENT,HOME_IMPROVEMENT,0
47,146944,45912,661,20,4,MORTGAGE,SMALL_BUSINESS,0
64,132726,30259,748,6,2,RENT,HOME_IMPROVEMENT,0
52,101974,43823,740,2,3,OWN,MAJOR_PURCHASE,0
57,125947,38208,392,19,4,MORTGAGE,HOME_IMPROVEMENT,1
69,46399,31659,723,18,3,MORTGAGE,DEBT_CONSOLIDATION,0
33,148177,36840,441,34,0,MORTGAGE,DEBT_CONSOLIDATION,0
30,105382,32890,590,3,3,MORTGAGE,MAJOR_PURCHASE,0
67,101244,14598,731,4,1,OWN,HOME_IMPROVEMENT,0
59,129575,48055,348,0,1,RENT,MAJOR_PURCHASE,1
47,135520,47733,601,3,4,MORTGAGE,DEBT_CONSOLIDATION,0
36,130904,20508,489,11,3,OWN,SMALL_BUSINESS,0
34,96534,43287,435,26,4,MORTGAGE,MAJOR_PURCHASE,1
36,75106,14380,703,22,2,RENT,SMALL_BUSINESS,0
45,132599,27984,640,24,1,MORTGAGE,SMALL_BUSINESS,0
43,50678,45633,617,20,4,OWN,HOME_IMPROVEMENT,1
54,96218,9125,662,23,2,RENT,MAJOR_PURCHASE,0
43,83230,37059,681,24,4,OWN,SMALL_BUSINESS,0
40,134684,5033,532,31,3,RENT,SMALL_BUSINESS,0
26,94055,38873,643,31,3,RENT,HOME_IMPROVEMENT,0
29,76373,18087,848,4,3,RENT,HOME_IMPROVEMENT,0
18,51480,41901,828,35,3,MORTGAGE,DEBT_CONSOLIDATION,1
18,105230,6704,482,38,0,OWN,SMALL_BUSINESS,0
64,88836,8848,340,15,2,OWN,DEBT_CONSOLIDATION,1
51,92258,22592,696,32,2,OWN,SMALL_BUSINESS,1
49,59986,46743,793,20,3,RENT,DEBT_CONSOLIDATION,0
65,44160,7924,632,8,0,MORTGAGE,HOME_IMPROVEMENT,0
42,105595,28208,426,5,3,RENT,MAJOR_PURCHASE,1
57,121358,20614,300,34,0,OWN,HOME_IMPROVEMENT,1
62,99111,1488,467,38,3,MORTGAGE,DEBT_CONSOLIDATION,0
18,84929,40882,318,21,1,MORTGAGE,DEBT_CONSOLIDATION,1
33,93506,26923,631,4,1,MORTGAGE,MAJOR_PURCHASE,0
56,54911,49508,755,22,4,OWN,SMALL_BUSINESS,0
22,107127,36941,408,16,3,MORTGAGE,DEBT_CONSOLIDATION,1
39,51821,30165,567,11,2,MORTGAGE,DEBT_CONSOLIDATION,0
46,95039,2667,744,22,4,RENT,DEBT_CONSOLIDATION,0
20,80535,27213,539,15,1,RENT,MAJOR_PURCHASE,0
29,133453,5114,600,2,3,MORTGAGE,HOME_IMPROVEMENT,0
43,104458,37321,402,29,4,MORTGAGE,DEBT_CONSOLIDATION,1
33,32175,8761,549,21,3,RENT,MAJOR_PURCHASE,0
68,139235,32116,752,8,1,RENT,DEBT_CONSOLIDATION,0
54,74771,34768,819,28,4,RENT,SMALL_BUSINESS,0
39,126660,49406,452,36,1,OWN,MAJOR_PURCHASE,0
46,147157,26426,473,22,0,OWN,DEBT_CONSOLIDATION,0
31,141300,18772,642,12,1,RENT,MAJOR_PURCHASE,0
45,106925,39218,730,31,3,MORTGAGE,DEBT_CONSOLIDATION,0
22,133374,4712,623,22,2,RENT,HOME_IMPROVEMENT,0
64,86358,2367,719,16,1,OWN,DEBT_CONSOLIDATION,0
66,37327,41957,784,39,2,MORTGAGE,MAJOR_PURCHASE,0
47,67057,42781,711,20,0,OWN,SMALL_BUSINESS,0
63,26150,27200,383,1,4,MORTGAGE,SMALL_BUSINESS,1
69,24425,4726,412,36,4,OWN,SMALL_BUSINESS,1
22,143654,24616,631,5,2,MORTGAGE,DEBT_CONSOLIDATION,0
29,36032,28723,677,17,4,MORTGAGE,HOME_IMPROVEMENT,0
33,22198,38574,340,29,1,MORTGAGE,DEBT_CONSOLIDATION,0
43,80500,35958,404,21,2,MORTGAGE,SMALL_BUSINESS,1
43,73394,10108,501,32,3,OWN,MAJOR_PURCHASE,0
65,40079,13178,749,29,1,OWN,SMALL_BUSINESS,0
38,56220,36643,565,16,1,MORTGAGE,MAJOR_PURCHASE,0
56,61874,32324,509,31,1,MORTGAGE,HOME_IMPROVEMENT,0
53,33859,39360,417,13,3,OWN,MAJOR_PURCHASE,1
50,70460,18824,676,9,0,MORTGAGE,DEBT_CONSOLIDATION,0
47,51419,46360,839,35,4,MORTGAGE,DEBT_CONSOLIDATION,0
54,138865,9927,383,33,2,MORTGAGE,DEBT_CONSOLIDATION,0
40,28705,29144,753,8,0,RENT,MAJOR_PURCHASE,0
27,62880,32010,813,27,2,MORTGAGE,DEBT_CONSOLIDATION,0
22,149838,23443,686,10,4,RENT,DEBT_CONSOLIDATION,0
53,43236,15437,649,13,3,MORTGAGE,DEBT_CONSOLIDATION,0
51,107955,45298,595,38,1,OWN,HOME_IMPROVEMENT,0
69,105514,40778,557,18,1,RENT,MAJOR_PURCHASE,0
48,123145,12207,380,14,3,RENT,MAJOR_PURCHASE,0
27,35358,26537,567,27,0,MORTGAGE,SMALL_BUSINESS,0
36,119713,36757,718,23,0,MORTGAGE,MAJOR_PURCHASE,0
49,114914,13040,534,7,2,RENT,HOME_IMPROVEMENT,0
18,122870,42986,610,8,3,OWN,MAJOR_PURCHASE,1
22,96918,23612,656,32,0,OWN,HOME_IMPROVEMENT,0
62,139179,29441,512,32,3,MORTGAGE,HOME_IMPROVEMENT,0
21,136243,7471,348,18,4,OWN,MAJOR_PURCHASE,1
33,34596,36631,426,2,1,OWN,SMALL_BUSINESS,1
41,53572,44461,522,9,1,MORTGAGE,DEBT_CONSOLIDATION,1
33,98757,27523,578,39,1,OWN,DEBT_CONSOLIDATION,0
19,21279,32348,707,0,3,MORTGAGE,MAJOR_PURCHASE,1
66,83197,2177,804,28,3,RENT,MAJOR_PURCHASE,0
45,131496,5760,593,33,2,MORTGAGE,HOME_IMPROVEMENT,0
49,82516,33779,576,12,1,RENT,MAJOR_PURCHASE,0
44,27083,22636,737,0,2,RENT,HOME_IMPROVEMENT,0
37,140674,17353,406,33,1,OWN,SMALL_BUSINESS,0
41,140307,12556,719,28,2,OWN,MAJOR_PURCHASE,0
29,146457,28598,728,12,2,OWN,DEBT_CONSOLIDATION,0
67,129397,12563,674,28,4,MORTGAGE,DEBT_CONSOLIDATION,0
52,37771,47819,372,38,2,OWN,MAJOR_PURCHASE,1
50,49975,44790,329,23,3,RENT,HOME_IMPROVEMENT,1
50,65648,9234,487,25,2,OWN,DEBT_CONSOLIDATION,0
68,145641,26519,663,16,1,OWN,HOME_IMPROVEMENT,0
60,68285,27966,750,6,2,MORTGAGE,MAJOR_PURCHASE,0
54,39063,17173,494,12,0,MORTGAGE,MAJOR_PURCHASE,0
29,87642,27987,455,4,1,RENT,DEBT_CONSOLIDATION,0
20,110093,14178,471,25,0,MORTGAGE,MAJOR_PURCHASE,0
18,134390,40338,340,2,1,OWN,SMALL_BUSINESS,1
50,106143,25596,362,6,3,MORTGAGE,SMALL_BUSINESS,1
57,57599,34174,322,38,3,RENT,DEBT_CONSOLIDATION,1
27,71920,42974,659,0,3,OWN,SMALL_BUSINESS,1
60,48529,5431,374,16,0,RENT,HOME_IMPROVEMENT,0
61,55954,28764,417,24,4,MORTGAGE,DEBT_CONSOLIDATION,1
46,47856,22627,679,2,1,MORTGAGE,DEBT_CONSOLIDATION,0
30,22573,40310,589,14,3,RENT,HOME_IMPROVEMENT,1
29,98344,9906,739,28,1,OWN,SMALL_BUSINESS,0
48,55367,37914,306,31,0,MORTGAGE,SMALL_BUSINESS,1
63,122337,45814,495,25,4,MORTGAGE,SMALL_BUSINESS,0
19,126732,46379,720,15,0,OWN,DEBT_CONSOLIDATION,0
68,119608,14076,492,24,1,MORTGAGE,DEBT_CONSOLIDATION,0
67,80774,38650,447,27,4,RENT,SMALL_BUSINESS,1
52,43752,47881,501,8,4,MORTGAGE,MAJOR_PURCHASE,1
40,75029,47413,743,0,0,MORTGAGE,SMALL_BUSINESS,0
34,37685,7012,718,28,3,OWN,HOME_IMPROVEMENT,0
43,71693,8151,726,21,1,RENT,DEBT_CONSOLIDATION,0
25,136739,29211,778,15,2,OWN,HOME_IMPROVEMENT,0
46,75961,28117,774,6,2,MORTGAGE,HOME_IMPROVEMENT,1
43,126937,37378,425,13,0,MORTGAGE,DEBT_CONSOLIDATION,0
27,144956,43652,694,28,1,OWN,MAJOR_PURCHASE,0
43,96908,7894,624,18,1,OWN,SMALL_BUSINESS,1
51,145537,14467,691,18,0,OWN,HOME_IMPROVEMENT,0
68,146678,32010,739,1,1,RENT,DEBT_CONSOLIDATION,0
58,94532,43641,503,14,3,MORTGAGE,HOME_IMPROVEMENT,1
24,101994,13289,785,2,0,OWN,SMALL_BUSINESS,0
21,76133,45976,330,10,3,MORTGAGE,MAJOR_PURCHASE,1
67,117425,44596,687,29,1,RENT,MAJOR_PURCHASE,0
62,145055,24171,733,39,0,RENT,MAJOR_PURCHASE,0
28,81268,35905,675,17,1,RENT,DEBT_CONSOLIDATION,0
46,112201,21829,643,1,0,RENT,DEBT_CONSOLIDATION,0
53,58243,35054,742,31,1,MORTGAGE,MAJOR_PURCHASE,0
42,77384,49478,374,7,3,RENT,SMALL_BUSINESS,1
38,51653,45139,454,21,3,RENT,SMALL_BUSINESS,1
53,46657,49713,729,5,1,OWN,DEBT_CONSOLIDATION,0
27,59952,30734,662,11,0,RENT,MAJOR_PURCHASE,0
54,42180,8052,747,39,2,OWN,SMALL_BUSINESS,0
26,117432,4654,533,35,3,RENT,SMALL_BUSINESS,0
41,141829,24486,561,14,3,RENT,SMALL_BUSINESS,0
52,148377,19743,424,27,2,OWN,DEBT_CONSOLIDATION,0
66,98411,49368,544,17,1,RENT,MAJOR_PURCHASE,0
52,21622,25489,841,1,0,MORTGAGE,HOME_IMPROVEMENT,0
65,68756,9636,784,12,1,MORTGAGE,MAJOR_PURCHASE,0
53,60809,7441,421,14,4,RENT,MAJOR_PURCHASE,1
35,36725,25611,424,19,3,MORTGAGE,DEBT_CONSOLIDATION,1
66,81396,43435,848,28,4,OWN,SMALL_BUSINESS,0
56,71226,13149,469,28,3,RENT,SMALL_BUSINESS,0
49,126296,35566,423,2,3,RENT,DEBT_CONSOLIDATION,1
41,101182,43368,334,18,4,OWN,DEBT_CONSOLIDATION,1
40,102565,22675,386,2,4,OWN,DEBT_CONSOLIDATION,1
49,49402,6495,500,13,1,OWN,DEBT_CONSOLIDATION,0
54,24263,43668,668,39,4,RENT,DEBT_CONSOLIDATION,1
29,143489,14673,376,3,1,OWN,HOME_IMPROVEMENT,0
66,116523,12130,358,10,1,OWN,MAJOR_PURCHASE,1
30,66828,23668,730,30,1,MORTGAGE,MAJOR_PURCHASE,0
40,140824,16222,799,31,3,MORTGAGE,MAJOR_PURCHASE,0
42,67924,24669,408,26,3,RENT,SMALL_BUSINESS,1
52,94182,35068,577,29,4,MORTGAGE,HOME_IMPROVEMENT,1
58,113065,24253,367,1,3,MORTGAGE,MAJOR_PURCHASE,1
47,79052,10435,368,8,4,OWN,SMALL_BUSINESS,0
34,31664,29552,464,27,3,OWN,HOME_IMPROVEMENT,1
66,55737,38384,788,30,0,MORTGAGE,HOME_IMPROVEMENT,0
37,121332,17393,604,33,0,MORTGAGE,SMALL_BUSINESS,0
65,109563,11617,664,14,4,MORTGAGE,HOME_IMPROVEMENT,0
42,49373,39520,678,24,3,RENT,SMALL_BUSINESS,0
39,137369,10852,642,35,3,RENT,MAJOR_PURCHASE,0
30,56397,32401,653,7,1,RENT,SMALL_BUSINESS,1
36,148575,7295,715,8,2,MORTGAGE,HOME_IMPROVEMENT,0
66,106145,36993,408,36,4,MORTGAGE,MAJOR_PURCHASE,1
53,121371,35084,796,38,2,RENT,MAJOR_PURCHASE,0
29,58709,46105,640,31,2,RENT,DEBT_CONSOLIDATION,0
58,136074,40575,682,16,4,MORTGAGE,DEBT_CONSOLIDATION,0
36,81120,37451,832,34,3,OWN,HOME_IMPROVEMENT,0
29,39250,8227,599,36,4,RENT,SMALL_BUSINESS,0
26,41172,32910,438,18,2,MORTGAGE,SMALL_BUSINESS,0
24,31555,37041,658,28,3,MORTGAGE,HOME_IMPROVEMENT,1
45,107410,24384,798,6,0,OWN,MAJOR_PURCHASE,0
31,98617,1145,684,27,4,MORTGAGE,HOME_IMPROVEMENT,0
48,73276,38778,579,8,4,MORTGAGE,HOME_IMPROVEMENT,1
69,77492,17035,782,27,3,RENT,MAJOR_PURCHASE,0
36,73002,4040,410,5,0,RENT,SMALL_BUSINESS,0
64,140103,43422,438,28,0,OWN,HOME_IMPROVEMENT,0
33,144938,27160,734,16,3,OWN,SMALL_BUSINESS,0
22,109599,18633,808,15,1,MORTGAGE,HOME_IMPROVEMENT,0
52,92355,30344,572,22,4,RENT,MAJOR_PURCHASE,0
29,111248,18014,398,30,4,OWN,MAJOR_PURCHASE,1
42,44762,15996,403,2,2,OWN,DEBT_CONSOLIDATION,1
69,31046,42621,513,20,3,OWN,MAJOR_PURCHASE,0
38,116999,12695,464,25,2,MORTGAGE,DEBT_CONSOLIDATION,0
53,144130,3852,819,35,2,RENT,HOME_IMPROVEMENT,0
40,136021,17014,583,36,0,OWN,SMALL_BUSINESS,0
33,48769,28042,816,21,4,RENT,MAJOR_PURCHASE,0
56,73302,34755,463,11,2,OWN,MAJOR_PURCHASE,1
62,43150,41390,363,12,0,OWN,MAJOR_PURCHASE,1
59,88247,24711,390,10,3,RENT,HOME_IMPROVEMENT,1
56,24853,27122,416,15,2,RENT,DEBT_CONSOLIDATION,0
31,114613,10160,566,7,4,RENT,HOME_IMPROVEMENT,0
48,140900,28213,439,39,2,MORTGAGE,SMALL_BUSINESS,0
22,109399,40420,545,39,3,OWN,HOME_IMPROVEMENT,1
52,41792,8421,694,1,2,MORTGAGE,SMALL_BUSINESS,0
40,79129,22400,786,29,4,RENT,MAJOR_PURCHASE,0
46,126019,34537,775,29,0,OWN,SMALL_BUSINESS,0
60,94478,18727,816,11,4,MORTGAGE,SMALL_BUSINESS,0
28,133811,47882,483,9,0,OWN,DEBT_CONSOLIDATION,0
35,134130,5358,319,10,1,MORTGAGE,SMALL_BUSINESS,0
64,87298,29482,823,14,4,RENT,SMALL_BUSINESS,0
29,51987,33117,828,15,4,MORTGAGE,HOME_IMPROVEMENT,0
26,35850,24164,446,16,3,OWN,MAJOR_PURCHASE,1
27,32112,32910,603,25,2,OWN,HOME_IMPROVEMENT,1
61,141789,33496,527,1,0,OWN,HOME_IMPROVEMENT,0
34,44058,45311,401,11,0,OWN,MAJOR_PURCHASE,1
55,65420,30371,716,25,3,RENT,MAJOR_PURCHASE,0
24,58890,39467,515,22,3,MORTGAGE,SMALL_BUSINESS,1
63,86017,18625,706,17,2,RENT,SMALL_BUSINESS,0
30,67304,34893,698,31,2,RENT,DEBT_CONSOLIDATION,0
57,52921,11793,798,37,4,RENT,HOME_IMPROVEMENT,0
59,125921,32007,764,2,1,OWN,MAJOR_PURCHASE,0
26,21524,26766,381,37,2,OWN,SMALL_BUSINESS,0
67,120424,40532,664,2,3,OWN,MAJOR_PURCHASE,0
44,35048,13323,462,29,2,MORTGAGE,SMALL_BUSINESS,1
19,55111,46799,347,0,0,OWN,DEBT_CONSOLIDATION,1
22,57904,47820,810,29,1,MORTGAGE,DEBT_CONSOLIDATION,0
46,74912,46408,628,31,4,OWN,MAJOR_PURCHASE,1
54,54008,8843,415,27,0,OWN,DEBT_CONSOLIDATION,0
55,20060,15210,636,20,0,RENT,MAJOR_PURCHASE,0
36,94666,17456,446,12,1,RENT,SMALL_BUSINESS,1
25,103559,32367,622,26,4,RENT,HOME_IMPROVEMENT,0
65,75337,11106,742,35,3,MORTGAGE,DEBT_CONSOLIDATION,0
62,130616,38957,312,6,4,MORTGAGE,SMALL_BUSINESS,1
18,33350,3472,793,21,2,OWN,HOME_IMPROVEMENT,0
39,44354,7704,586,9,0,MORTGAGE,HOME_IMPROVEMENT,1
69,65186,4713,413,38,2,OWN,HOME_IMPROVEMENT,0
34,48145,6051,779,14,3,MORTGAGE,SMALL_BUSINESS,0
24,54020,11756,321,14,2,MORTGAGE,SMALL_BUSINESS,1
42,106123,3475,648,3,4,MORTGAGE,MAJOR_PURCHASE,0
62,126667,37378,619,31,2,RENT,HOME_IMPROVEMENT,1
21,95186,5255,425,22,3,MORTGAGE,HOME_IMPROVEMENT,1
53,105469,15484,576,5,3,RENT,HOME_IMPROVEMENT,0
23,40581,35503,503,23,3,RENT,MAJOR_PURCHASE,1
48,108929,9258,493,19,4,MORTGAGE,HOME_IMPROVEMENT,0
36,43051,41747,846,36,3,OWN,SMALL_BUSINESS,0
61,71474,36196,585,19,0,OWN,HOME_IMPROVEMENT,0
56,111748,46113,356,11,3,OWN,DEBT_CONSOLIDATION,1
44,145995,41194,602,32,2,MORTGAGE,SMALL_BUSINESS,0
27,134618,9533,462,27,2,OWN,MAJOR_PURCHASE,0
43,89626,33581,318,7,2,RENT,HOME_IMPROVEMENT,1
36,26960,6249,669,0,4,OWN,DEBT_CONSOLIDATION,0
56,55772,20201,563,36,2,MORTGAGE,MAJOR_PURCHASE,0
20,41520,10686,412,21,4,OWN,MAJOR_PURCHASE,1
62,69481,47877,787,5,4,RENT,SMALL_BUSINESS,0
30,56408,33007,626,20,3,MORTGAGE,MAJOR_PURCHASE,0
67,114006,1661,841,31,0,OWN,MAJOR_PURCHASE,0
45,148496,45843,364,34,3,MORTGAGE,MAJOR_PURCHASE,0
37,77134,31137,591,14,3,MORTGAGE,MAJOR_PURCHASE,0
45,40491,48556,324,4,4,MORTGAGE,HOME_IMPROVEMENT,0
25,21341,43828,848,5,4,OWN,HOME_IMPROVEMENT,1
58,64623,49604,300,24,2,MORTGAGE,HOME_IMPROVEMENT,1
56,110327,11526,848,39,2,OWN,HOME_IMPROVEMENT,0
18,20338,4374,440,28,3,RENT,DEBT_CONSOLIDATION,1
20,91431,26592,487,6,1,OWN,HOME_IMPROVEMENT,0
30,32254,29982,427,39,1,RENT,MAJOR_PURCHASE,1
45,71860,1207,500,12,2,OWN,HOME_IMPROVEMENT,0
66,31344,36433,426,37,1,MORTGAGE,HOME_IMPROVEMENT,1
42,21750,24197,556,17,2,OWN,SMALL_BUSINESS,1
50,74756,34400,846,1,4,MORTGAGE,MAJOR_PURCHASE,0
55,87957,4083,493,7,3,RENT,HOME_IMPROVEMENT,0
23,125423,30328,403,10,0,OWN,HOME_IMPROVEMENT,0
61,78053,47479,834,32,3,MORTGAGE,HOME_IMPROVEMENT,0
62,90855,43891,564,37,2,RENT,DEBT_CONSOLIDATION,0
49,35896,21103,683,26,2,RENT,HOME_IMPROVEMENT,0
62,75761,40891,559,19,3,OWN,SMALL_BUSINESS,0
64,82552,11754,713,11,2,RENT,MAJOR_PURCHASE,0
38,140075,35447,657,30,1,MORTGAGE,MAJOR_PURCHASE,0
33,97454,16901,374,26,1,RENT,HOME_IMPROVEMENT,0
38,146522,34004,654,31,2,RENT,HOME_IMPROVEMENT,0
28,138681,8446,487,9,2,MORTGAGE,HOME_IMPROVEMENT,0
54,110600,38211,589,2,1,RENT,MAJOR_PURCHASE,0
53,142732,49231,344,26,2,RENT,MAJOR_PURCHASE,1
52,132153,30301,382,34,2,RENT,DEBT_CONSOLIDATION,0
36,142926,27116,422,30,3,RENT,SMALL_BUSINESS,0
37,47935,42323,657,14,0,MORTGAGE,DEBT_CONSOLIDATION,0
35,57641,19752,827,15,1,RENT,SMALL_BUSINESS,0
64,49711,33376,365,12,3,MORTGAGE,DEBT_CONSOLIDATION,1
58,90342,17669,674,34,0,RENT,MAJOR_PURCHASE,0
66,126896,33916,461,10,2,RENT,DEBT_CONSOLIDATION,0
31,32182,14395,679,20,2,RENT,SMALL_BUSINESS,0
32,107833,21421,657,10,3,RENT,HOME_IMPROVEMENT,0
48,76276,27342,487,29,2,MORTGAGE,SMALL_BUSINESS,0
18,39541,5895,621,34,4,MORTGAGE,HOME_IMPROVEMENT,0
20,114457,12023,749,21,3,MORTGAGE,MAJOR_PURCHASE,0
33,102310,11699,773,37,0,OWN,SMALL_BUSINESS,0
40,64813,10715,312,30,3,RENT,DEBT_CONSOLIDATION,0
28,57198,20169,483,13,1,RENT,SMALL_BUSINESS,0
29,28820,17163,410,23,3,MORTGAGE,HOME_IMPROVEMENT,1
27,44070,6782,807,31,2,OWN,MAJOR_PURCHASE,0
49,89768,23641,589,35,2,RENT,DEBT_CONSOLIDATION,0
33,31122,19792,594,31,4,MORTGAGE,SMALL_BUSINESS,1
25,100559,36585,750,14,4,RENT,HOME_IMPROVEMENT,0
55,93543,31682,514,34,4,RENT,DEBT_CONSOLIDATION,1
29,103441,48864,326,2,0,MORTGAGE,MAJOR_PURCHASE,0
41,61786,19880,530,15,4,MORTGAGE,DEBT_CONSOLIDATION,0
45,114934,39067,620,4,0,RENT,MAJOR_PURCHASE,0
25,119804,43685,532,20,4,RENT,DEBT_CONSOLIDATION,1
45,26737,19073,736,9,0,MORTGAGE,SMALL_BUSINESS,0
53,56062,37035,832,18,3,RENT,HOME_IMPROVEMENT,0
43,74237,38174,702,24,3,RENT,SMALL_BUSINESS,0
25,71571,25837,352,3,2,MORTGAGE,SMALL_BUSINESS,1
67,45510,18826,612,28,0,RENT,MAJOR_PURCHASE,0
45,39426,25981,580,18,1,RENT,MAJOR_PURCHASE,0
45,57265,11382,330,1,2,OWN,MAJOR_PURCHASE,1
54,37850,5437,636,9,3,MORTGAGE,SMALL_BUSINESS,1
58,138249,6435,482,24,0,OWN,DEBT_CONSOLIDATION,0
53,86150,25819,322,19,4,OWN,DEBT_CONSOLIDATION,1
44,107312,37875,843,18,1,OWN,SMALL_BUSINESS,0
34,109613,32982,745,22,3,RENT,SMALL_BUSINESS,0
26,94910,34328,373,23,2,RENT,HOME_IMPROVEMENT,1
50,72375,13329,309,10,0,OWN,MAJOR_PURCHASE,0
37,141826,26169,783,33,1,OWN,MAJOR_PURCHASE,1
30,55435,22932,755,27,0,OWN,SMALL_BUSINESS,1
45,116443,35594,459,4,4,RENT,SMALL_BUSINESS,1
65,77132,12421,313,4,2,OWN,DEBT_CONSOLIDATION,1
46,98945,46033,477,20,0,OWN,SMALL_BUSINESS,0
30,102050,8629,711,11,3,MORTGAGE,DEBT_CONSOLIDATION,1
63,149828,9325,352,3,2,MORTGAGE,SMALL_BUSINESS,0
52,115402,29495,707,19,3,RENT,HOME_IMPROVEMENT,0
23,22983,32750,321,37,0,MORTGAGE,HOME_IMPROVEMENT,1
35,117241,30619,329,24,2,MORTGAGE,DEBT_CONSOLIDATION,1
68,40662,41461,559,13,3,MORTGAGE,MAJOR_PURCHASE,1
22,43510,9264,504,10,4,RENT,HOME_IMPROVEMENT,1
64,98187,13686,358,31,4,MORTGAGE,DEBT_CONSOLIDATION,1
42,60998,47484,770,10,0,RENT,SMALL_BUSINESS,1
19,76846,25226,765,17,2,OWN,SMALL_BUSINESS,0
